file_key,f0,f1,f2,f3_x,f3_y
T2_S1_TRY3_VB_SL_BIG,68,0.07983,0.34766,0.19605573529411763,0.19605573529411763
T2_S1_TRY3_HS_SL_BIG,55,0.07349,0.73047,0.24284890909090906,0.24284890909090906
T2_S1_TRY3_VB_FA_LIT,70,0.08569,0.72339,0.2034984285714286,0.2034984285714286
T2_S1_TRY3_HS_FA_LIT,64,0.08423,1.07642,0.22032953125,0.22032953125
T2_S1_TRY3_VB_FA_BIG,80,0.02686,0.33521,0.17058374999999998,0.17058374999999998
T2_S1_TRY3_HS_FA_BIG,75,0.03247,0.56274,0.1854328,0.1854328
T2_S2_TRY1_VB_SL_LIT,57,0.08008,0.73047,0.24977754385964912,0.24977754385964912
T2_S2_TRY1_HS_SL_LIT,54,0.08691,1.00586,0.26211629629629635,0.26211629629629635
T2_S2_TRY1_VB_SL_BIG,74,0.0791,0.375,0.1906674324324324,0.1906674324324324
T2_S2_TRY1_HS_SL_BIG,50,0.09375,1.55371,0.3129888,0.3129888
T2_S2_TRY1_VB_FA_LIT,70,0.04102,0.6123,0.20301314285714286,0.20301314285714286
T2_S2_TRY1_HS_FA_LIT,58,0.08301,1.2998,0.26414258620689657,0.26414258620689657
T2_S2_TRY1_VB_FA_BIG,82,0.02734,0.50879,0.1645030487804878,0.1645030487804878
T2_S2_TRY1_HS_FA_BIG,74,0.08691,0.48242,0.18794851351351355,0.18794851351351355
T2_S2_TRY2_VB_SL_LIT,62,0.09375,0.74414,0.22776,0.22776
T2_S2_TRY2_HS_SL_LIT,39,0.08789,2.53809,0.3798584615384615,0.3798584615384615
T2_S2_TRY2_VB_SL_BIG,67,0.02148,0.98535,0.21119925373134327,0.21119925373134327
T2_S2_TRY2_HS_SL_BIG,47,0.06445,1.21973,0.3154508510638298,0.3154508510638298
T2_S2_TRY2_VB_FA_LIT,67,0.04004,0.45508,0.2026728358208955,0.2026728358208955
T2_S2_TRY2_HS_FA_LIT,62,0.08594,1.66113,0.2387846774193548,0.2387846774193548
T2_S2_TRY2_VB_FA_BIG,71,0.04004,0.52148,0.19484436619718307,0.19484436619718307
T2_S2_TRY2_HS_FA_BIG,69,0.08691,0.80371,0.2004357971014493,0.2004357971014493
T2_S2_TRY3_VB_SL_LIT,65,0.0459,1.66113,0.24564246153846156,0.24564246153846156
T2_S2_TRY3_HS_SL_LIT,24,0.08594,2.04395,0.6275641666666667,0.6275641666666667
T2_S2_TRY3_VB_SL_BIG,68,0.08105,0.85059,0.21194279411764705,0.21194279411764705
