2025-05-29 11:39:02.766893
EYEZ="0.67728" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.49720" FPOGY="0.62375" FPOGS="5694.44922" FPOGD="0.22119" FPOGID="13815" FPOGV="1" LPOGX="0.48823" LPOGY="0.66209" LPOGV="1" RPOGX="0.50302" RPOGY="0.55379" RPOGV="1" BPOGX="0.49563" BPOGY="0.60794" BPOGV="1" LPCX="0.34698" LPCY="0.68099" LPD="18.64630" LPS="1.10948" LPV="1" RPCX="0.59449" RPCY="0.67026" RPD="17.88202" RPS="1.10948" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00403" LPUPILV="0" REYEX="0.02409" REYEY="-0.03599" REYEZ="0.67211" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49718" FPOGY="0.62343" FPOGS="5694.44922" FPOGD="0.22803" FPOGID="13815" FPOGV="1" LPOGX="0.48997" LPOGY="0.66576" LPOGV="1" RPOGX="0.50244" RPOGY="0.55873" RPOGV="1" BPOGX="0.49620" BPOGY="0.61225" BPOGV="1" LPCX="0.34665" LPCY="0.68106" LPD="18.24887" LPS="1.09924" LPV="1" RPCX="0.59435" RPCY="0.67039" RPD="17.68797" RPS="1.09924" RPV="1" LEYEX="-0.04064" LEYEY="-0.03965" LEYEZ="0.70113" LPUPILD="0.00404" LPUPILV="1" REYEX="0.02429" REYEY="-0.03635" REYEZ="0.68069" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49765" FPOGY="0.62346" FPOGS="5694.44922" FPOGD="0.23438" FPOGID="13815" FPOGV="1" LPOGX="0.48973" LPOGY="0.67554" LPOGV="1" RPOGX="0.53900" RPOGY="0.57387" RPOGV="1" BPOGX="0.51436" BPOGY="0.62471" BPOGV="1" LPCX="0.34660" LPCY="0.68098" LPD="18.64065" LPS="1.10820" LPV="1" RPCX="0.59426" RPCY="0.67043" RPD="17.79011" RPS="1.10820" RPV="1" LEYEX="-0.04064" LEYEY="-0.03965" LEYEZ="0.70113" LPUPILD="0.00396" LPUPILV="1" REYEX="0.02429" REYEY="-0.03635" REYEZ="0.68069" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49810" FPOGY="0.62230" FPOGS="5694.44922" FPOGD="0.24121" FPOGID="13815" FPOGV="1" LPOGX="0.48846" LPOGY="0.61055" LPOGV="1" RPOGX="0.53993" RPOGY="0.55056" RPOGV="1" BPOGX="0.51419" BPOGY="0.58055" BPOGV="1" LPCX="0.34650" LPCY="0.68101" LPD="18.36361" LPS="1.11716" LPV="1" RPCX="0.59415" RPCY="0.67029" RPD="17.63849" RPS="1.11716" RPV="1" LEYEX="-0.04064" LEYEY="-0.03965" LEYEZ="0.70113" LPUPILD="0.00401" LPUPILV="1" REYEX="0.02429" REYEY="-0.03635" REYEZ="0.68069" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49852" FPOGY="0.62120" FPOGS="5694.44922" FPOGD="0.24756" FPOGID="13815" FPOGV="1" LPOGX="0.48846" LPOGY="0.61055" LPOGV="1" RPOGX="0.53993" RPOGY="0.55056" RPOGV="1" BPOGX="0.51419" BPOGY="0.58055" BPOGV="1" LPCX="0.34642" LPCY="0.68110" LPD="18.89952" LPS="1.11716" LPV="1" RPCX="0.59391" RPCY="0.67033" RPD="17.72072" RPS="1.11716" RPV="1" LEYEX="-0.03968" LEYEY="-0.03877" LEYEZ="0.68374" LPUPILD="0.00398" LPUPILV="1" REYEX="0.02420" REYEY="-0.03636" REYEZ="0.68084" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49841" FPOGY="0.62092" FPOGS="5694.44922" FPOGD="0.25488" FPOGID="13815" FPOGV="1" LPOGX="0.47158" LPOGY="0.63811" LPOGV="1" RPOGX="0.51669" RPOGY="0.58244" RPOGV="1" BPOGX="0.49414" BPOGY="0.61028" BPOGV="1" LPCX="0.34629" LPCY="0.68122" LPD="18.59049" LPS="1.10820" LPV="1" RPCX="0.59374" RPCY="0.67028" RPD="17.86949" RPS="1.10820" RPV="1" LEYEX="-0.03968" LEYEY="-0.03877" LEYEZ="0.68374" LPUPILD="0.00397" LPUPILV="1" REYEX="0.02420" REYEY="-0.03636" REYEZ="0.68084" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49855" FPOGY="0.62044" FPOGS="5694.44922" FPOGD="0.26074" FPOGID="13815" FPOGV="1" LPOGX="0.49982" LPOGY="0.64849" LPOGV="1" RPOGX="0.50785" RPOGY="0.55480" RPOGV="1" BPOGX="0.50383" BPOGY="0.60164" BPOGV="1" LPCX="0.34621" LPCY="0.68112" LPD="18.83976" LPS="1.09924" LPV="1" RPCX="0.59370" RPCY="0.67028" RPD="17.83710" RPS="1.09924" RPV="1" LEYEX="-0.03968" LEYEY="-0.03877" LEYEZ="0.68374" LPUPILD="0.00396" LPUPILV="1" REYEX="0.02420" REYEY="-0.03636" REYEZ="0.68084" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49866" FPOGY="0.61992" FPOGS="5694.44922" FPOGD="0.26807" FPOGID="13815" FPOGV="1" LPOGX="0.49816" LPOGY="0.64466" LPOGV="1" RPOGX="0.50799" RPOGY="0.55376" RPOGV="1" BPOGX="0.50308" BPOGY="0.59921" BPOGV="1" LPCX="0.34604" LPCY="0.68118" LPD="18.42643" LPS="1.10948" LPV="1" RPCX="0.59358" RPCY="0.67025" RPD="17.84616" RPS="1.10139" RPV="1" LEYEX="-0.04308" LEYEY="-0.04187" LEYEZ="0.74035" LPUPILD="0.00405" LPUPILV="1" REYEX="0.02371" REYEY="-0.03564" REYEZ="0.66843" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49883" FPOGY="0.62033" FPOGS="5694.44922" FPOGD="0.27441" FPOGID="13815" FPOGV="1" LPOGX="0.51786" LPOGY="0.68440" LPOGV="1" RPOGX="0.49404" RPOGY="0.58950" RPOGV="1" BPOGX="0.50595" BPOGY="0.63695" BPOGV="1" LPCX="0.34597" LPCY="0.68122" LPD="18.74827" LPS="1.12059" LPV="1" RPCX="0.59351" RPCY="0.67035" RPD="17.90046" RPS="1.11250" RPV="1" LEYEX="-0.04308" LEYEY="-0.04187" LEYEZ="0.74035" LPUPILD="0.00399" LPUPILV="1" REYEX="0.02371" REYEY="-0.03564" REYEZ="0.66843" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49885" FPOGY="0.62073" FPOGS="5694.44922" FPOGD="0.28125" FPOGID="13815" FPOGV="1" LPOGX="0.51478" LPOGY="0.66969" LPOGV="1" RPOGX="0.48439" RPOGY="0.60581" RPOGV="1" BPOGX="0.49959" BPOGY="0.63775" BPOGV="1" LPCX="0.34594" LPCY="0.68111" LPD="18.69872" LPS="1.13169" LPV="1" RPCX="0.59351" RPCY="0.67033" RPD="17.58031" RPS="1.12361" RPV="1" LEYEX="-0.04308" LEYEY="-0.04187" LEYEZ="0.74035" LPUPILD="0.00398" LPUPILV="1" REYEX="0.02371" REYEY="-0.03564" REYEZ="0.66843" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.49888" FPOGY="0.62111" FPOGS="5694.44922" FPOGD="0.28809" FPOGID="13815" FPOGV="1" LPOGX="0.51595" LPOGY="0.67249" LPOGV="1" RPOGX="0.48476" RPOGY="0.60185" RPOGV="1" BPOGX="0.50036" BPOGY="0.63717" BPOGV="1" LPCX="0.34579" LPCY="0.68088" LPD="18.51302" LPS="1.12361" LPV="1" RPCX="0.59342" RPCY="0.67026" RPD="17.41400" RPS="1.13277" RPV="1" LEYEX="-0.04036" LEYEY="-0.03913" LEYEZ="0.69190" LPUPILD="0.00400" LPUPILV="1" REYEX="0.02481" REYEY="-0.03746" REYEZ="0.70242" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
